-x-------------- [7] [0] [7] [7] [7] [4] [8] [7] [10] [7] [7] [7] [10] [7] [4] [7] 
--o-oxx--x----xo [4] [4] [0] [4] [0] [0] [0] [4] [4] [0] [4] [4] [4] [4] [0] [0] 
-oxo-x--xx----o- [4] [0] [0] [0] [4] [0] [4] [4] [0] [0] [4] [4] [4] [4] [0] [4] 
---x-xxoo-x---o- [4] [4] [7] [0] [4] [0] [0] [0] [0] [4] [0] [4] [4] [4] [0] [4] 
xo--x------xxo-o [0] [0] [4] [4] [0] [4] [4] [4] [4] [4] [4] [0] [0] [0] [4] [0] 
xx---oox------ox [0] [0] [4] [4] [4] [0] [0] [0] [4] [4] [4] [4] [4] [4] [0] [0] 
x-o--x-x----ox-o [0] [4] [0] [4] [4] [0] [4] [0] [4] [4] [4] [1] [0] [0] [4] [0] 
xxx-o-x----oo--- [0] [0] [0] [4] [0] [4] [0] [4] [4] [4] [4] [0] [0] [4] [4] [4] 
xo-x-xo--o--x--- [0] [0] [4] [0] [4] [0] [0] [4] [4] [0] [7] [4] [0] [4] [4] [4] 
-x-x-xx--oo--o-- [4] [0] [4] [0] [4] [0] [0] [4] [4] [0] [0] [4] [4] [0] [4] [4] 
oxoo------x--x-x [0] [0] [0] [0] [4] [4] [4] [4] [4] [4] [0] [4] [4] [0] [4] [0] 
----xx-ooo---x-x [4] [4] [1] [4] [0] [0] [4] [0] [0] [0] [4] [4] [4] [0] [4] [0] 
-xo--x---x--oo-x [4] [0] [0] [4] [4] [0] [4] [4] [4] [0] [4] [4] [0] [0] [4] [0] 
-xx---o-o--xox-- [4] [0] [0] [4] [4] [4] [0] [7] [0] [4] [4] [0] [0] [0] [4] [4] 
xooxx-------o--x [0] [0] [0] [0] [0] [4] [4] [4] [4] [4] [4] [4] [0] [4] [4] [0] 
---xoox-x-ox---- [4] [4] [4] [0] [0] [0] [0] [4] [0] [1] [0] [0] [4] [4] [4] [4] 
xo---ox---xxo--- [0] [0] [4] [4] [4] [0] [0] [4] [4] [4] [0] [0] [0] [4] [4] [4] 
xxx-x-o-oo------ [0] [0] [0] [4] [0] [4] [0] [4] [0] [0] [4] [4] [4] [4] [4] [4] 
xxo-x----ox----o [0] [0] [0] [4] [0] [5] [4] [4] [4] [0] [0] [4] [4] [4] [4] [0] 
--xo-xo----oxx-- [4] [4] [0] [0] [4] [0] [0] [4] [4] [4] [4] [0] [0] [0] [4] [4] 
oxx--x-x-o---o-- [0] [0] [0] [4] [4] [0] [4] [0] [4] [0] [4] [4] [7] [0] [4] [4] 
oxx---x----xoo-- [0] [0] [0] [4] [7] [4] [0] [4] [4] [4] [4] [0] [0] [0] [4] [4] 
-xx----ox-oo--x- [4] [0] [0] [4] [4] [4] [4] [0] [0] [4] [0] [0] [4] [4] [0] [4] 
o--xx-o-o--xx--- [0] [5] [4] [0] [0] [4] [0] [4] [0] [4] [4] [0] [0] [4] [4] [4] 
x--o-x-x----o-ox [0] [4] [4] [0] [4] [0] [4] [0] [4] [4] [4] [4] [0] [4] [0] [0] 
ox-xox------ox-- [0] [0] [7] [0] [0] [0] [4] [4] [4] [4] [4] [4] [0] [0] [4] [4] 
---xoox-xoox---x [3] [0] [3] [0] [0] [0] [0] [3] [0] [0] [0] [0] [3] [3] [3] [0] 
xxx-o-x--o-oox-- [0] [0] [0] [3] [0] [3] [0] [3] [3] [0] [3] [0] [0] [0] [3] [3] 
xx-o-x-x--o-o-ox [0] [0] [3] [0] [3] [0] [3] [0] [3] [3] [0] [3] [0] [3] [0] [0] 
oxx--x-x-ox-oo-- [0] [0] [0] [3] [3] [0] [6] [0] [3] [0] [0] [3] [0] [0] [3] [3] 
xxo-xo---oxx---o [0] [0] [0] [3] [0] [0] [3] [3] [3] [0] [0] [0] [3] [3] [4] [0] 
oxoo-ox---x--x-x [0] [0] [0] [0] [3] [0] [0] [3] [3] [3] [0] [3] [3] [0] [3] [0] 
xo-xxxo--oo-x--- [0] [0] [3] [0] [0] [0] [0] [3] [3] [0] [0] [3] [0] [3] [3] [6] 
xxx-x-o-oo--x-o- [0] [0] [0] [3] [0] [3] [0] [3] [0] [0] [3] [3] [0] [3] [0] [3] 
-x-x-xxo-oo--ox- [3] [0] [3] [0] [3] [0] [0] [0] [3] [0] [0] [3] [3] [0] [0] [3] 
-xx---ooo--xoxx- [3] [0] [0] [3] [3] [6] [0] [0] [0] [3] [3] [0] [0] [0] [0] [3] 
oo-xx-o-o--xx-x- [0] [0] [3] [0] [0] [3] [0] [3] [0] [3] [3] [0] [0] [4] [0] [3] 
x-ox-x-x---oox-o [0] [3] [0] [0] [3] [0] [3] [0] [3] [3] [3] [0] [0] [0] [0] [0] 
--ox-xxooxx---o- [3] [3] [0] [0] [3] [0] [0] [0] [0] [0] [0] [3] [3] [6] [0] [3] 
xo---oxo--xxo-x- [0] [0] [3] [3] [3] [0] [0] [0] [3] [3] [0] [0] [0] [3] [0] [3] 
-x-oxoox--o-x-x- [3] [0] [3] [0] [0] [0] [0] [0] [3] [3] [0] [3] [0] [3] [0] [3] 
xooxx-----oxo--x [0] [0] [0] [0] [0] [3] [3] [3] [3] [3] [0] [0] [0] [3] [3] [0] 
xo--x--o---xxoxo [0] [0] [3] [3] [0] [3] [3] [0] [3] [3] [3] [0] [0] [0] [0] [0] 
--xo-xo---ooxxx- [3] [3] [0] [0] [3] [0] [0] [3] [3] [3] [0] [0] [0] [0] [0] [3] 
-oxo-x--xx-x--oo [3] [0] [0] [0] [3] [0] [3] [3] [0] [0] [3] [0] [3] [3] [0] [0] 
--oxxx-ooo---x-x [3] [3] [0] [0] [0] [0] [3] [0] [0] [0] [3] [3] [0] [0] [3] [0] 
-xo-oxx-ox----xo [3] [0] [0] [3] [0] [0] [0] [3] [0] [0] [3] [3] [3] [3] [0] [0] 
-xxx-o-ox-oo--x- [3] [0] [0] [0] [3] [0] [3] [0] [0] [3] [0] [0] [3] [3] [0] [3] 
-xo--x--ox--ooxx [3] [0] [0] [3] [3] [0] [3] [3] [0] [0] [3] [3] [0] [0] [0] [0] 
xx-x-ooxo-----ox [0] [0] [3] [0] [3] [0] [0] [0] [0] [3] [3] [3] [3] [3] [0] [0] 
oxxxo-x----xoo-- [0] [0] [0] [0] [0] [3] [0] [3] [3] [6] [3] [0] [0] [0] [3] [3] 
oxoxox------ox-x [0] [0] [0] [0] [0] [0] [3] [6] [3] [3] [3] [3] [0] [0] [3] [0] 
oxxxo-x--o-xoox- [0] [0] [0] [0] [0] [5] [0] [2] [2] [0] [2] [0] [0] [0] [0] [2] 
-x-oxoox--o-xxxo [2] [0] [2] [0] [0] [0] [0] [0] [2] [2] [0] [2] [0] [0] [0] [0] 
xo-xxxo--oo-x-xo [0] [0] [2] [0] [0] [0] [0] [2] [5] [0] [0] [2] [0] [2] [0] [0] 
xo--x-oo-x-xxoxo [0] [0] [2] [2] [0] [2] [0] [0] [2] [0] [2] [0] [0] [0] [0] [0] 
-xx--oooox-xoxx- [5] [0] [0] [2] [2] [0] [0] [0] [0] [0] [2] [0] [0] [0] [0] [2] 
oxx-xxox-ox-oo-- [0] [0] [0] [2] [0] [0] [0] [0] [2] [0] [0] [5] [0] [0] [2] [2] 
-oxo-x-oxx-x-xoo [2] [0] [0] [0] [2] [0] [2] [0] [0] [0] [2] [0] [2] [0] [0] [0] 
--ox-xxooxxx-oo- [2] [2] [0] [0] [2] [0] [0] [0] [0] [0] [0] [0] [5] [0] [0] [2] 
-xo-oxx-oxox--xo [2] [0] [0] [2] [0] [0] [0] [2] [0] [0] [0] [0] [2] [2] [0] [0] 
xo--ooxo--xxoxx- [0] [0] [2] [2] [0] [0] [0] [0] [2] [2] [0] [0] [0] [0] [0] [2] 
xooxx-x-o-oxo--x [0] [0] [0] [0] [0] [2] [0] [2] [0] [2] [0] [0] [0] [2] [2] [0] 
xxo-xo---oxx-xoo [0] [0] [0] [2] [0] [0] [3] [2] [2] [0] [0] [0] [2] [0] [0] [0] 
xx-x-ooxo--ox-ox [0] [0] [2] [0] [2] [0] [0] [0] [0] [2] [2] [0] [0] [2] [0] [0] 
x-oxxx-x---ooxoo [0] [0] [0] [0] [0] [0] [2] [0] [2] [2] [2] [0] [0] [0] [0] [0] 
-xxx-xxoooo--ox- [2] [0] [0] [0] [2] [0] [0] [0] [0] [0] [0] [2] [2] [0] [0] [2] 
xxoo-xxx--o-o-ox [0] [0] [0] [0] [2] [0] [0] [0] [2] [2] [0] [2] [0] [2] [0] [0] 
xxxoo-xx-o-oox-- [0] [0] [0] [0] [0] [2] [0] [0] [2] [0] [2] [0] [0] [0] [2] [2] 
xxxox-o-oox-x-o- [0] [0] [0] [0] [0] [2] [0] [2] [0] [0] [0] [2] [0] [2] [0] [2] 
oo-xx-o-o--xxoxx [0] [0] [2] [0] [0] [2] [0] [3] [0] [2] [2] [0] [0] [0] [0] [0] 
-xoo-x-xox--ooxx [2] [0] [0] [0] [2] [0] [2] [0] [0] [0] [2] [2] [0] [0] [0] [0] 
x-oxxx-ooo--ox-x [0] [2] [0] [0] [0] [0] [2] [0] [0] [0] [2] [2] [0] [0] [0] [0] 
oxoo-oxo--x-xx-x [0] [0] [0] [0] [2] [0] [0] [0] [2] [2] [0] [2] [0] [0] [2] [0] 
oxoxoxxo----ox-x [0] [0] [0] [0] [0] [0] [0] [0] [2] [5] [2] [2] [0] [0] [2] [0] 
oxx-xxoxxoxooo-- [0] [0] [0] [1] [0] [0] [0] [0] [0] [0] [0] [0] [0] [0] [4] [1] 
-x-oxooxx-ooxxxo [1] [0] [1] [0] [0] [0] [0] [0] [0] [1] [0] [0] [0] [0] [0] [0] 
xxoxxoo--oxx-xoo [0] [0] [0] [0] [0] [0] [0] [1] [2] [0] [0] [0] [1] [0] [0] [0] 
xxxooxxx-oooox-- [0] [0] [0] [0] [0] [0] [0] [0] [1] [0] [0] [0] [0] [0] [1] [1] 
xo--ooxo-xxxoxxo [0] [0] [1] [1] [0] [0] [0] [0] [1] [0] [0] [0] [0] [0] [0] [0] 
xooxxxx-o-oxo-ox [0] [0] [0] [0] [0] [0] [0] [1] [0] [1] [0] [0] [0] [1] [0] [0] 
xxxox-o-oox-xxoo [0] [0] [0] [0] [0] [1] [0] [1] [0] [0] [0] [1] [0] [0] [0] [0] 
xo-xxxoxooo-x-xo [0] [0] [1] [0] [0] [0] [0] [0] [0] [0] [0] [4] [0] [1] [0] [0] 
ooxo-x-oxx-xxxoo [0] [0] [0] [0] [1] [0] [1] [0] [0] [0] [1] [0] [0] [0] [0] [0] 
-xo-oxxxoxoxo-xo [1] [0] [0] [1] [0] [0] [0] [0] [0] [0] [0] [0] [0] [1] [0] [0] 
oxooxoxo--xoxx-x [0] [0] [0] [0] [0] [0] [0] [0] [1] [1] [0] [0] [0] [0] [1] [0] 
oxooxx-xox--ooxx [0] [0] [0] [0] [0] [0] [1] [0] [0] [0] [1] [1] [0] [0] [0] [0] 
oo-xx-ooox-xxoxx [0] [0] [1] [0] [0] [1] [0] [0] [0] [0] [2] [0] [0] [0] [0] [0] 
-xxxoxxoooo--oxx [1] [0] [0] [0] [0] [0] [0] [0] [0] [0] [0] [1] [1] [0] [0] [0] 
oxxxoox--o-xooxx [0] [0] [0] [0] [0] [0] [0] [1] [4] [0] [1] [0] [0] [0] [0] [0] 
xx-xoooxo-xox-ox [0] [0] [1] [0] [0] [0] [0] [0] [0] [1] [0] [0] [0] [1] [0] [0] 
oxxx-oooox-xoxx- [0] [0] [0] [0] [1] [0] [0] [0] [0] [0] [1] [0] [0] [0] [0] [4] 
x-ox-xxooxxxooo- [0] [4] [0] [0] [1] [0] [0] [0] [0] [0] [0] [0] [0] [0] [0] [1] 
oxoxoxxo-ox-ox-x [0] [0] [0] [0] [0] [0] [0] [0] [4] [0] [0] [1] [0] [0] [1] [0] 
